bucket,confidence,fileId,guessedBrand,model,normalizedModel,oldBrand,previewUrl,reason,reviewStatus,rule,title,viewerUrl
53xxx,low,1T_QyAsRP7bnmqgemHscfZSE_yEGQgzag,VOREL,53575,53575,DO ROZPOZNANIA,https://drive.google.com/file/d/1T_QyAsRP7bnmqgemHscfZSE_yEGQgzag/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_53575.pdf,https://drive.google.com/file/d/1T_QyAsRP7bnmqgemHscfZSE_yEGQgzag/view?usp=drivesdk
53xxx,low,1J10V-Rk0eUhTxQBcQUf1SC-bxLzttNNR,VOREL,53576,53576,DO ROZPOZNANIA,https://drive.google.com/file/d/1J10V-Rk0eUhTxQBcQUf1SC-bxLzttNNR/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_53576.pdf,https://drive.google.com/file/d/1J10V-Rk0eUhTxQBcQUf1SC-bxLzttNNR/view?usp=drivesdk
53xxx,low,14PsZpejlD1RixKkVJUERbuE_vBGfZIsY,VOREL,53577,53577,DO ROZPOZNANIA,https://drive.google.com/file/d/14PsZpejlD1RixKkVJUERbuE_vBGfZIsY/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_53577.pdf,https://drive.google.com/file/d/14PsZpejlD1RixKkVJUERbuE_vBGfZIsY/view?usp=drivesdk
55xxx,low,1JUKLN0OQQxbjKOA0PQ2Up0E57cbYQCnn,VOREL,55820,55820,DO ROZPOZNANIA,https://drive.google.com/file/d/1JUKLN0OQQxbjKOA0PQ2Up0E57cbYQCnn/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_55820.pdf,https://drive.google.com/file/d/1JUKLN0OQQxbjKOA0PQ2Up0E57cbYQCnn/view?usp=drivesdk
57xxx,low,1Rj8GZ-VLD95gVaa4j696ECsp_2K_3qrg,VOREL,57090,57090,DO ROZPOZNANIA,https://drive.google.com/file/d/1Rj8GZ-VLD95gVaa4j696ECsp_2K_3qrg/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_57090.pdf,https://drive.google.com/file/d/1Rj8GZ-VLD95gVaa4j696ECsp_2K_3qrg/view?usp=drivesdk
57xxx,low,1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr,VOREL,57091,57091,DO ROZPOZNANIA,https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_57091.pdf,https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/view?usp=drivesdk
57xxx,low,1rnAxKhMG0lMOmFKR_TcdqogQbei4I2_-,VOREL,57092,57092,DO ROZPOZNANIA,https://drive.google.com/file/d/1rnAxKhMG0lMOmFKR_TcdqogQbei4I2_-/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_57092.pdf,https://drive.google.com/file/d/1rnAxKhMG0lMOmFKR_TcdqogQbei4I2_-/view?usp=drivesdk
57xxx,low,1COR6mCvljmLN7oB5XDiNHLAhiVwBJ04t,VOREL,57097,57097,DO ROZPOZNANIA,https://drive.google.com/file/d/1COR6mCvljmLN7oB5XDiNHLAhiVwBJ04t/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_57097.pdf,https://drive.google.com/file/d/1COR6mCvljmLN7oB5XDiNHLAhiVwBJ04t/view?usp=drivesdk
58xxx,low,1MQp9dvFcsCCCTUeNKjX_42-BUgkxhdET,VOREL,58539,58539,DO ROZPOZNANIA,https://drive.google.com/file/d/1MQp9dvFcsCCCTUeNKjX_42-BUgkxhdET/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58539.pdf,https://drive.google.com/file/d/1MQp9dvFcsCCCTUeNKjX_42-BUgkxhdET/view?usp=drivesdk
58xxx,low,1SDOTmNQKcZQ2JFNJbyTCZcFWZQPqdU7-,VOREL,58540,58540,DO ROZPOZNANIA,https://drive.google.com/file/d/1SDOTmNQKcZQ2JFNJbyTCZcFWZQPqdU7-/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58540.pdf,https://drive.google.com/file/d/1SDOTmNQKcZQ2JFNJbyTCZcFWZQPqdU7-/view?usp=drivesdk
